loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,pub_rec,pub_rec_bankruptcies,issue_year,loan_amnt_ctg,funded_amnt_inv_ctg,annual_inc_ctg
5000,5000,4975.0,36,10.6,162.87,B,B2,10,RENT,24000.0,Dec-11,Fully Paid,credit_card,AZ,27.65,0,0.0,11,1,0,2
2500,2500,2500.0,60,15.2,59.83,C,C4,1,RENT,30000.0,Dec-11,Charged Off,car,GA,1.0,0,0.0,11,0,0,3
2400,2400,2400.0,36,15.9,84.33,C,C5,10,RENT,12252.0,Dec-11,Fully Paid,small_business,IL,8.72,0,0.0,11,0,0,1
10000,10000,10000.0,36,13.4,339.31,C,C1,10,RENT,49200.0,Dec-11,Fully Paid,other,CA,20.0,0,0.0,11,2,2,4
5000,5000,5000.0,36,7.9,156.46,A,A4,3,RENT,36000.0,Dec-11,Fully Paid,wedding,AZ,11.2,0,0.0,11,1,1,3
7000,7000,7000.0,60,15.9,170.08,C,C5,8,RENT,47004.0,Dec-11,Fully Paid,debt_consolidation,NC,23.51,0,0.0,11,1,1,4
3000,3000,3000.0,36,18.6,109.43,E,E1,9,RENT,48000.0,Dec-11,Fully Paid,car,CA,5.35,0,0.0,11,0,0,4
5600,5600,5600.0,60,21.2,152.39,F,F2,4,OWN,40000.0,Dec-11,Charged Off,small_business,CA,5.55,0,0.0,11,1,1,4
5375,5375,5350.0,60,12.6,121.45,B,B5,1,RENT,15000.0,Dec-11,Charged Off,other,TX,18.08,0,0.0,11,1,1,1
6500,6500,6500.0,60,14.6,153.45,C,C3,5,OWN,72000.0,Dec-11,Fully Paid,debt_consolidation,AZ,16.12,0,0.0,11,1,1,7
12000,12000,12000.0,36,12.6,402.54,B,B5,10,OWN,75000.0,Dec-11,Fully Paid,debt_consolidation,CA,10.78,0,0.0,11,2,2,7
9000,9000,9000.0,36,13.4,305.38,C,C1,1,RENT,30000.0,Dec-11,Charged Off,debt_consolidation,VA,10.08,0,0.0,11,1,1,3
3000,3000,3000.0,36,9.9,96.68,B,B1,3,RENT,15000.0,Dec-11,Fully Paid,credit_card,IL,12.56,0,0.0,11,0,0,1
10000,10000,10000.0,36,10.6,325.74,B,B2,3,RENT,100000.0,Dec-11,Charged Off,other,CA,7.06,0,0.0,11,2,2,10
1000,1000,1000.0,36,16.2,35.31,D,D1,1,RENT,28000.0,Dec-11,Fully Paid,debt_consolidation,MO,20.31,0,0.0,11,0,0,2
10000,10000,10000.0,36,15.2,347.98,C,C4,4,RENT,42000.0,Dec-11,Fully Paid,home_improvement,CA,18.6,0,0.0,11,2,2,4
3600,3600,3600.0,36,6.0,109.57,A,A1,10,MORTGAGE,110000.0,Dec-11,Fully Paid,major_purchase,CT,10.52,0,0.0,11,0,0,11
6000,6000,6000.0,36,11.7,198.46,B,B3,1,MORTGAGE,84000.0,Dec-11,Fully Paid,medical,UT,18.44,0,0.0,11,1,1,8
